dailyRentalRate,totalReadyTimeUOM,currency,dieselRateUOM,comment
98.63,hour,USD,USD/gal,sum (charge = 98.63 + 0.2 * Fuel Saved Cost)
98.63,hour,USD,USD/gal,sum (charge = 98.63 + 0.2 * Fuel Saved Cost)
98.63,hour,USD,USD/gal,sum (charge = 98.63 + 0.2 * Fuel Saved Cost)
98.63,hour,USD,USD/gal,sum (charge = 98.63 + 0.2 * Fuel Saved Cost)
98.63,hour,USD,USD/gal,sum (charge = 98.63 + 0.2 * Fuel Saved Cost)
98.63,hour,USD,USD/gal,sum (charge = 98.63 + 0.2 * Fuel Saved Cost)
98.63,hour,USD,USD/gal,sum (charge = 98.63 + 0.2 * Fuel Saved Cost)
98.63,hour,USD,USD/gal,sum (charge = 98.63 + 0.2 * Fuel Saved Cost)
98.63,hour,USD,USD/gal,sum (charge = 98.63 + 0.2 * Fuel Saved Cost)
98.63,hour,USD,USD/gal,sum (charge = 98.63 + 0.2 * Fuel Saved Cost)
98.63,hour,USD,USD/gal,sum (charge = 98.63 + 0.2 * Fuel Saved Cost)
98.63,hour,USD,USD/gal,sum (charge = 98.63 + 0.2 * Fuel Saved Cost)
98.63,hour,USD,USD/gal,sum (charge = 98.63 + 0.2 * Fuel Saved Cost)
98.63,hour,USD,USD/gal,sum (charge = 98.63 + 0.2 * Fuel Saved Cost)
98.63,hour,USD,USD/gal,sum (charge = 98.63 + 0.2 * Fuel Saved Cost)
98.63,hour,USD,USD/gal,sum (charge = 98.63 + 0.2 * Fuel Saved Cost)
98.63,hour,USD,USD/gal,sum (charge = 98.63 + 0.2 * Fuel Saved Cost)
98.63,hour,USD,USD/gal,sum (charge = 98.63 + 0.2 * Fuel Saved Cost)
98.63,hour,USD,USD/gal,sum (charge = 98.63 + 0.2 * Fuel Saved Cost)
98.63,hour,USD,USD/gal,sum (charge = 98.63 + 0.2 * Fuel Saved Cost)
98.63,hour,USD,USD/gal,sum (charge = 98.63 + 0.2 * Fuel Saved Cost)
98.63,hour,USD,USD/gal,sum (charge = 98.63 + 0.2 * Fuel Saved Cost)
98.63,hour,USD,USD/gal,sum (charge = 98.63 + 0.2 * Fuel Saved Cost)
98.63,hour,USD,USD/gal,sum (charge = 98.63 + 0.2 * Fuel Saved Cost)
98.63,hour,USD,USD/gal,sum (charge = 98.63 + 0.2 * Fuel Saved Cost)
98.63,hour,USD,USD/gal,sum (charge = 98.63 + 0.2 * Fuel Saved Cost)
98.63,hour,USD,USD/gal,sum (charge = 98.63 + 0.2 * Fuel Saved Cost)
98.63,hour,USD,USD/gal,sum (charge = 98.63 + 0.2 * Fuel Saved Cost)
98.63,hour,USD,USD/gal,sum (charge = 98.63 + 0.2 * Fuel Saved Cost)
98.63,hour,USD,USD/gal,sum (charge = 98.63 + 0.2 * Fuel Saved Cost)